preco,taxa,km/l,km
9000,125,23,20831
16800,145,26,31202
14750,145,23,26066
10400,145,28,17667
14500,145,25,17308
8750,145,25,16718
6500,0,28,62135
13500,145,32,35124
13750,145,32,12175
7000,30,23,22481
10650,145,22,38911
15500,145,27,30621
5600,30,23,102811
11500,30,27,20194
19718,145,24,16
15500,145,25,12741
9310,0,28,26128
9000,150,20,14484
10000,150,27,53712
26000,145,18,2218
16100,145,23,5161
18000,145,26,14460
18000,145,21,2036
8800,0,28,41178
11700,145,26,43142
11200,145,28,27581
7860,125,23,39096
7160,0,38,69911
14465,205,18,50408
10497,0,33,15965
5999,125,23,49149
8999,125,23,18990
7710,0,28,43967
7695,20,29,83663
11000,145,24,45984
8495,20,27,48291
9190,0,25,31260
8830,0,32,54685
8500,20,26,42722
11300,145,23,56982
12000,145,28,47669
13500,145,23,6780
9000,125,26,63065
20000,145,21,22251
9000,125,26,73054
9000,145,27,36204
11298,0,28,26335
10998,0,28,23440
9798,30,24,39979
11498,0,32,36815
8998,0,28,39630
6298,30,23,54335
8398,20,26,50245
17995,145,22,65632
17495,235,16,8111
9795,125,22,50050
8797,145,23,28892
8690,0,28,25733
9990,145,26,22861
12997,145,25,15469
10971,145,28,16718
9350,145,27,31168
18690,145,18,27306
16690,145,17,10879
16750,145,26,17006
12941,145,21,17057
9490,145,27,29799
11890,145,26,30734
10497,20,26,44239
12995,145,28,19742
11980,145,26,22312
7980,145,20,60473
19998,145,23,29726
16998,145,26,26409
13998,145,25,14972
19898,145,27,6705
15498,145,23,38243
21798,145,18,6074
13998,145,25,18812
10998,145,32,38647
7298,145,20,40153
11998,30,28,71545
14798,145,25,29681
10890,20,26,35660
6790,20,25,59549
9890,0,32,32280
7797,145,25,20921
15990,145,24,45247
16997,150,26,11003
16997,145,26,14410
6995,30,23,48893
6995,145,25,16945
14998,125,26,70982
17298,235,16,13269
16998,145,23,31236
17498,145,15,12342
10998,150,32,80052
9470,0,32,65209
10298,200,18,56665
9998,20,27,43700
8998,145,23,17062
10498,125,22,58841
10995,20,26,40757
7995,145,27,87548
10000,145,27,13255
10500,145,20,23419
14500,205,18,56327
7795,160,19,33877
9998,150,20,11261
11498,30,23,24737
14990,145,25,6783
7995,30,25,21013
11280,20,26,16885
9495,160,19,42870
8995,0,28,55107
6495,145,20,72676
8845,160,19,34482
10995,145,24,19706
8495,30,25,66311
8995,0,28,25959
16998,150,30,13660
9998,125,25,24679
9998,30,27,41793
10498,150,24,9959
11498,150,19,17711
13498,145,25,18034
10498,30,25,5705
6998,125,23,17786
9798,20,27,37451
10498,0,28,36238
9990,145,27,10440
10750,145,28,24010
10497,145,27,22885
13341,145,25,22634
12997,145,26,12694
10650,145,28,15792
13990,145,26,44543
9997,145,27,28735
10490,145,26,45560
14490,145,27,22869
8998,0,32,40554
17998,150,19,10483
10298,125,22,20134
9599,0,32,41239
10898,145,27,23372
6797,20,27,101388
10797,145,26,33743
13997,145,25,12883
10397,145,28,29866
14390,145,23,5441
9997,145,28,40745
13497,145,25,20221
18997,145,18,32367
9997,0,28,28316
17890,145,26,11148
11995,145,22,54769
20695,145,27,2512
21500,145,12,3083
14700,145,25,9215
10000,145,27,7004
17500,145,21,16
8000,145,25,48187
8600,125,23,51719
10700,145,28,33041
12400,145,26,7828
10498,150,24,12955
7298,20,26,71051
18498,150,23,14986
15998,150,17,31849
10998,150,26,34530
10698,0,32,66092
11698,150,28,16056
10998,20,29,38796
7498,0,33,56448
10998,125,23,13552
12000,145,28,15211
12000,150,22,16970
13250,150,25,24114
8750,0,28,56834
11400,30,27,70808
11000,125,22,36352
10500,145,28,36072
9200,20,26,70476
11750,145,28,25518
14000,30,27,58520
6270,30,26,44806
13970,30,27,22936
16770,145,23,16081
5290,20,25,105584
8940,125,22,37890
8249,20,26,56145
9900,145,26,42398
9790,145,23,25457
8790,145,32,66133
16698,145,21,5264
4998,30,23,116035
7995,165,19,91773
12995,145,25,12559
7995,0,32,77248
5495,0,32,102966
6990,0,32,107813
10329,145,21,59729
13495,145,23,21277
10345,145,32,51359
7700,0,28,46111
10250,145,22,43278
12000,150,26,18161
10750,150,22,28670
14000,150,23,32991
9400,150,27,44688
7000,160,19,55896
16000,145,24,2739
10380,145,26,36926
8700,150,23,34147
14250,125,26,35430
6998,0,28,31390
9898,20,27,46254
11298,20,29,29760
14698,150,25,28389
16998,150,16,11737
9998,125,23,40314
11998,150,29,33226
10698,20,29,51085
13500,145,25,39295
8800,145,25,21275
8750,145,25,13446
7895,145,20,57941
10795,145,20,34647
17995,125,24,44690
11200,145,28,19415
16601,150,23,36223
8990,145,23,13536
8990,0,28,22672
10990,150,28,16391
9990,20,29,59946
14490,150,23,16779
19490,145,22,33830
10990,145,24,48769
14990,145,23,73180
18990,145,17,8052
7676,30,24,56650
4560,30,25,57653
14237,20,29,41489
14280,145,25,14323
8180,30,24,41132
16990,145,23,30603
7090,0,28,46473
5902,20,29,93165
9698,20,27,37794
11998,0,25,9436
14000,145,28,28012
11500,20,29,20843
16500,125,26,37015
10250,30,27,47294
10000,125,23,8853
11000,145,26,16179
12000,145,28,20081
10298,145,24,43446
8698,0,28,34878
15998,145,24,9738
8798,125,23,22146
14498,125,26,29929
15698,160,18,21404
17849,145,16,24592
12390,145,26,5383
10280,145,28,36818
17420,145,23,40238
13990,145,26,24427
8991,150,27,23521
5572,165,19,89994
9498,0,33,22056
8998,20,29,74673
10798,30,25,26620
9298,0,32,74636
11698,20,27,18926
10498,20,27,15942
19498,235,19,48895
16998,200,19,73495
18298,125,22,19685
19498,150,20,18097
10298,150,24,17024
6210,125,23,72836
8290,0,28,49928
8100,145,20,10892
6780,20,25,70941
7480,20,29,83425
9499,20,26,57178
8750,20,27,53807
11998,30,27,47308
10298,150,24,21160
9998,165,19,51158
10998,150,23,78751
9998,20,29,37089
9998,30,24,40238
9998,150,28,34301
9500,0,32,35182
8360,0,28,15920
4650,30,25,54718
6100,20,25,78309
6490,125,23,43166
5960,20,29,88921
17490,145,17,1963
12990,145,32,18078
15690,145,32,16093
25490,145,17,1815
10490,20,27,35135
22990,145,23,298
15495,150,23,36538
7999,20,29,132117
18999,145,21,3541
21595,145,17,12843
12350,145,25,38302
6701,0,32,80467
8400,145,28,61998
6100,30,23,56621
10200,0,28,24370
8000,0,32,82389
8930,0,28,21713
10170,145,28,16874
4801,30,23,144841
7981,20,26,64374
9690,0,28,41270
12498,30,27,47363
8698,20,26,37884
9498,125,22,25061
13298,125,22,14745
9498,125,26,72918
10998,0,25,1065
10498,20,29,24871
14598,145,25,22341
18498,145,17,16990
11998,0,28,11603
12220,145,24,15331
11000,145,24,54336
14491,145,23,10385
5991,20,29,91439
8291,125,23,30471
6891,0,28,49238
15991,240,16,10374
10490,125,22,33234
8991,145,19,25387
9210,145,28,29380
12991,150,20,15250
7991,125,23,19158
10159,145,20,68222
9840,160,19,35103
8137,0,32,35460
17750,20,29,31398
17520,145,26,6048
19230,145,26,4657
17390,145,26,4921
10991,145,28,41751
14287,145,25,16114
26030,145,15,6307
19300,145,21,4284
20390,145,21,10692
26430,145,24,14692
17200,145,26,11240
17800,145,27,7221
27480,145,23,10712
10530,145,25,22006
7790,125,23,30351
17410,145,26,3407
17520,145,26,7873
17390,145,26,4675
8760,0,28,34726
9230,145,20,33700
16387,125,24,40885
15160,235,16,24732
15500,145,25,16554
17530,145,21,24
11200,145,32,17917
7871,20,26,59565
15791,145,23,65957
9950,125,26,108869
13999,150,27,38487
10450,150,28,24853
7991,145,25,3655
6080,0,28,94636
9970,0,33,88061
15291,20,29,59072
7620,160,19,68461
9291,145,27,11502
8791,125,22,39731
8222,0,28,41119
6590,125,23,67642
9470,0,28,27029
19840,145,22,46048
7600,0,32,75092
17300,145,26,8520
16730,145,25,7604
12410,145,32,7963
17080,145,24,44254
7870,0,32,34572
17990,125,24,45560
8880,20,27,62341
7500,0,32,113795
9130,0,28,47421
6710,30,25,52667
19991,145,21,3983
6800,30,25,39611
10361,125,22,33548
7750,125,23,37586
17450,145,26,7483
9450,145,27,40365
12950,145,25,34036
6450,0,28,48517
8950,145,26,57051
12450,145,23,14341
14450,145,25,13692
8151,0,32,104802
5991,0,33,113713
4890,30,25,23355
13491,125,26,56998
7991,145,25,12501
10491,145,28,25663
9491,145,28,47867
9991,150,22,30627
10991,125,23,33735
10991,150,28,16365
8450,0,28,27832
13750,30,27,42570
14750,145,27,24290
9450,145,28,18709
7950,20,26,38127
8950,30,27,37729
14750,145,25,9294
15529,145,22,5868
9450,145,27,31273
11250,145,28,18363
9450,145,27,23496
8450,145,25,16826
7950,0,28,37953
10450,145,23,21417
6950,125,23,47796
10250,145,28,33412
9750,145,27,25410
10999,145,26,20162
14450,145,27,25791
16950,145,16,1181
10850,30,23,43399
12950,145,25,23886
14450,145,27,25209
10250,0,32,39685
10950,145,28,16587
12999,145,25,20001
11253,145,26,15760
14590,145,27,20027
8650,0,28,17028
7950,125,23,26834
8950,160,19,27574
12650,145,25,29679
11999,145,26,23596
10250,145,27,15660
10250,145,28,14486
8450,0,28,47158
7950,125,23,28062
11456,145,28,4566
9659,145,27,15619
14450,145,27,22128
19450,145,18,19714
9850,145,27,10993
13650,145,25,14099
13250,145,25,21948
13450,145,25,28802
16950,145,26,14825
10638,145,28,21279
9407,145,27,29797
16450,145,21,9830
7999,125,23,31146
10750,145,26,30503
10950,145,26,25170
10950,145,26,23015
10708,145,28,14402
10450,145,28,35275
12950,145,25,24851
16950,145,23,17780
6950,0,28,39905
10750,145,27,16055
12950,160,19,29203
12950,125,25,48588
10950,145,28,20049
5750,125,23,63294
10750,150,27,13388
5890,0,28,65479
7170,0,28,72449
14550,235,16,12622
13140,145,21,4968
13030,145,21,5237
17790,145,26,9527
18000,145,20,19592
15910,145,25,9323
9620,125,22,41309
7791,0,33,40608
11750,145,28,9802
11750,125,26,44328
11950,145,25,12490
13950,145,25,16845
10950,145,28,27504
11250,145,26,19798
15950,145,26,10111
13250,145,23,68514
12247,145,26,15876
18450,145,17,6387
9999,145,26,33173
13617,145,25,11533
15450,145,23,24048
13461,145,27,40663
10750,145,33,29552
17450,145,29,15503
13450,145,25,31751
6999,30,23,41030
11450,20,26,25759
8450,145,25,16789
9491,145,28,47337
7999,125,23,23735
9950,145,27,11719
15750,145,26,7463
9999,145,27,8042
9950,145,27,24390
9660,0,28,37736
15920,145,21,7722
14090,145,23,21564
19766,145,18,8161
14266,145,27,26091
16950,145,23,27402
13950,145,27,39308
13157,145,25,20868
17750,145,26,23960
8368,145,28,19526
10750,20,26,23232
10950,145,28,11426
11450,145,28,26551
14450,145,27,23611
22750,145,18,7891
13491,145,25,4759
10070,145,28,19602
15490,145,32,12690
19590,145,20,21778
7390,0,33,28162
15763,145,32,18947
8221,0,28,44571
15740,150,22,7939
8430,30,27,60793
13500,145,23,37647
18995,145,14,41178
7353,145,20,48304
11999,145,21,49405
15498,145,34,44505
11698,145,26,31155
17498,145,16,23073
7495,125,23,33748
10690,145,24,36996
8650,0,28,48448
16950,145,23,40142
8990,20,30,38066
9998,145,38,64657
10298,165,19,14379
8498,125,23,8393
10298,150,24,39356
16998,150,23,41445
10495,145,24,34324
10495,145,24,37729
6197,125,23,46935
8990,150,20,33667
6995,0,32,103651
14147,145,23,49383
13995,145,24,24
9995,20,27,29345
9995,150,28,9659
11495,160,19,14899
17995,145,22,55693
21995,145,21,16
16495,145,21,18812
8795,0,28,15815
5795,30,24,71117
16995,145,32,16093
11995,145,23,11133
9995,125,23,19401
16950,145,25,46066
7672,125,23,21646
7950,125,23,54109
9671,145,27,13086
12250,145,26,13818
15250,145,27,19748
7999,125,23,36184
11450,145,26,29121
20395,145,15,8851
21495,145,21,16
16297,145,19,15289
5297,30,24,111720
9350,145,28,21002
8650,145,23,11599
14250,145,21,13111
12950,145,25,25614
11950,145,25,24547
9850,145,27,9928
9950,145,27,16745
9850,145,27,9316
9997,145,27,28786
6597,125,26,57558
9497,20,26,52606
11997,145,28,23282
10597,145,28,18063
11997,145,26,21156
10495,145,18,2977
17495,150,22,6791
12795,150,25,29884
13495,30,24,11677
17495,150,21,19127
17495,150,21,19214
8498,20,26,83111
13698,145,26,38193
9498,0,32,23904
10397,145,27,11428
9597,0,28,31561
10897,145,28,17941
10597,145,26,28833
9897,145,27,21963
10897,145,25,27751
11197,145,28,11167
9997,145,27,29322
13697,145,29,27061
17997,145,20,5768
7897,0,32,84603
9697,20,27,38639
13697,30,27,35560
9297,145,27,22996
13897,145,25,14764
10950,145,28,12559
9950,145,27,7285
10625,145,28,27431
10450,145,26,24570
9650,145,28,30019
13997,145,25,20366
8950,145,27,23852
13497,145,25,3570
11997,145,26,17233
14497,145,25,11372
7697,145,25,31706
15597,145,26,11637
16597,200,18,30682
10497,145,23,22386
7397,125,23,45214
13997,145,22,21174
6897,0,28,44033
14497,145,25,6779
18998,145,18,17543
14997,145,27,27657
7250,145,20,76540
18425,145,22,46666
9550,145,27,11771
17325,145,26,10179
9797,0,25,28920
11950,145,24,23812
9250,145,27,13274
16850,145,19,24245
10597,145,27,9082
18950,145,18,12516
13150,145,25,8135
17850,145,18,14132
9750,145,28,28640
11625,125,22,25135
21925,145,27,9653
11250,145,26,31121
17725,145,32,17473
9150,145,28,51378
7550,145,25,23128
15997,145,21,7057
9995,145,24,37692
7295,30,24,24559
8495,145,27,30631
7092,0,25,81822
18731,150,25,10729
6702,30,23,34620
14536,145,24,6115
10142,0,32,50694
7950,145,25,19964
10450,145,28,18635
10650,145,28,5734
15950,145,26,39984
10450,20,26,47080
11450,145,26,32615
17950,145,18,43755
8950,145,27,18672
15750,145,23,11143
10950,145,28,22370
10999,145,28,9138
11950,145,21,17452
10950,20,26,43591
7450,0,28,53176
10450,145,28,37443
16625,145,26,20423
17925,145,23,23699
6250,30,23,34266
10697,145,28,25669
13250,145,25,14445
9697,145,21,13094
9551,150,32,79358
9120,150,23,51320
9591,150,27,27302
11951,145,20,32364
15591,145,22,11887
9495,150,20,53025
15795,200,18,30008
6697,125,23,64576
11397,145,26,23606
11697,145,26,33384
10110,20,27,31342
7600,145,25,19045
7800,145,25,11724
20080,145,20,5876
19950,145,22,4157
15391,145,21,5779
17310,145,23,26802
11220,125,22,35280
20890,145,21,4805
6541,0,28,80654
6997,30,24,60183
15497,145,25,2108
8997,30,24,21696
9897,20,26,56647
10497,145,27,32903
13997,145,21,5044
5497,30,25,26860
9997,145,28,37245
17397,145,23,37802
10497,145,28,10779
16698,145,19,17650
15998,20,29,41880
9998,125,26,87151
19998,150,17,864
21290,150,16,21478
9059,0,32,92500
17520,145,26,12170
13660,145,22,80002
11000,145,24,39933
13140,145,21,3792
12091,125,26,102581
21972,145,26,1627
19000,145,26,7649
19000,145,26,5472
9780,0,28,11648
7500,145,25,6933
10481,145,28,37119
8421,145,23,30019
15780,145,32,8645
11660,145,23,23260
10597,145,27,10459
9850,0,28,15860
7850,145,25,19957
25925,145,16,9481
9450,145,27,22734
16350,145,27,29383
9950,125,26,71334
15550,145,23,25651
10250,145,20,32232
9750,145,28,21374
10498,150,28,30787
8298,125,22,38825
11498,150,27,43565
7598,165,19,53816
6998,0,33,61239
9598,150,33,96218
8998,125,23,17176
13998,145,25,13126
6698,125,23,40892
10798,0,28,18998
16995,150,17,5517
9995,150,28,50292
14390,150,23,19959
8990,150,23,60374
13890,150,27,38574
11498,30,23,28802
15498,150,19,41762
10498,150,24,15414
9498,145,23,78365
8798,0,32,53976
14498,145,25,20501
18998,145,18,32420
19498,145,17,14648
13998,30,27,25399
7298,20,29,99980
6998,165,19,26934
13995,150,23,11291
19995,125,24,33795
6995,125,23,19262
10495,145,24,21150
12495,145,25,20976
12995,0,29,67858
20395,145,16,4989
20995,145,21,28128
8995,30,24,36450
7897,145,23,44733
13597,145,25,17941
8497,0,32,63711
15397,145,23,19685
10697,20,29,36806
18997,145,17,14542
9297,145,28,34026
17997,145,15,11816
9050,145,27,27056
7998,30,24,14775
7498,0,28,33915
12498,145,25,18419
8798,20,27,39115
9798,20,26,51756
9000,145,27,26778
17490,125,24,54359
7990,20,26,44727
8290,0,28,46951
9498,125,23,23015
10998,20,26,11951
14495,145,34,26087
25925,145,17,1413
17998,145,29,25751
8998,0,28,40007
11998,125,25,59793
14998,205,18,66236
13498,20,29,70982
18298,145,19,22904
7698,125,23,40895
13890,150,26,59317
7600,20,26,70681
10390,0,32,48700
10990,30,25,22354
16995,145,26,29638
9495,145,20,5047
23850,145,18,5403
17890,145,27,19045
9660,160,19,12342
17720,145,22,52436
6921,20,29,39321
17520,145,26,4503
17520,145,26,7712
17520,145,26,11058
9160,30,24,58424
15290,145,23,22639
9995,145,27,23342
8290,125,23,24594
10995,145,28,26401
17500,145,16,17661
16500,145,23,43409
9700,160,19,45919
9300,160,19,56264
8700,0,28,43605
14500,145,23,62016
7800,145,20,50862
15600,145,25,17542
17600,145,15,16549
12500,235,17,73384
14000,30,27,32383
16290,145,26,28028
10800,30,27,22223
13995,150,25,18688
10995,150,28,20138
18990,150,20,14021
9495,150,27,14251
11600,145,26,37819
16300,145,23,12070
9400,145,28,26002
19690,145,15,10906
15000,145,26,23530
15200,125,26,10004
8500,0,28,30804
14000,145,27,25999
8900,0,28,4136
9990,145,28,61285
30990,145,16,16
18000,145,18,9510
15290,125,26,25577
18490,145,29,23266
19990,145,16,23113
15290,125,26,58916
10995,145,32,45908
11999,20,26,3605
6990,0,28,72135
13800,145,26,25358
15200,150,23,36106
4500,30,25,62156
17200,150,16,15112
10700,150,28,42902
8500,150,27,40234
26900,150,16,24026
14200,150,26,14862
8500,145,23,63897
7200,125,23,26490
9500,0,28,16264
15700,145,23,17465
17500,125,22,47588
10000,0,32,43608
8300,0,28,38265
20900,145,12,18107
6900,145,26,42556
24900,145,21,17439
10500,20,26,25122
15500,125,24,44724
15800,125,25,43006
14500,125,24,29708
9990,145,27,34821
7495,125,23,48660
11590,125,22,15871
18990,145,29,18266
5000,30,23,111777
16800,150,17,7516
11200,30,27,75341
9500,160,20,88869
15000,145,25,7467
15000,145,27,47900
8700,145,27,16597
11600,145,28,22196
8998,125,23,16272
7998,160,19,42252
7998,0,28,36640
13498,150,25,24159
9498,150,28,24159
14995,145,23,38674
13302,30,27,41732
9397,20,27,23059
5591,0,32,64584
8895,20,26,41017
12595,145,26,22157
13690,145,28,16509
15490,145,32,42633
13990,145,26,16093
9495,30,27,76262
15995,145,25,16542
7800,20,29,49085
8900,125,22,41492
10700,150,25,12801
15800,150,22,13739
13900,150,25,17320
5990,0,36,88853
18990,145,29,13218
17290,145,26,10062
17295,145,23,5417
23995,145,16,10251
12995,145,25,29451
18295,145,18,35084
11995,145,25,38624
8795,150,20,90123
12395,150,25,33796
14995,150,26,7725
15995,150,23,40568
18998,145,29,28973
9171,0,28,40171
8995,125,23,35541
9991,30,23,42826
14292,160,19,31662
12492,145,23,45425
11500,30,24,29544
15500,145,27,22804
15000,145,23,8940
19800,145,19,18054
11600,145,23,50435
12400,145,32,22740
8400,0,28,56526
12500,145,25,31752
9500,145,27,41973
11200,145,32,24800
10000,20,27,19484
4500,30,25,66187
9300,145,27,17980
7500,145,25,23640
13000,145,25,12917
16000,145,18,38154
21000,150,17,16
17000,150,25,16
21000,150,21,1888
14500,30,23,11256
10500,150,29,72417
13000,150,25,19058
7500,0,28,30211
10998,150,26,50316
8498,125,23,48610
16195,145,26,13087
7700,150,25,38936
16795,145,22,1112
6700,0,28,57387
14500,145,24,10358
11500,145,27,43552
17400,145,19,3013
8200,145,25,13543
6000,125,23,66669
16395,145,23,4506
12495,145,25,20117
11495,145,28,93342
21795,145,21,1094
12495,145,23,54718
10295,30,24,32187
17995,145,21,145
9895,0,25,17703
9695,30,27,53108
12795,145,29,21726
16500,125,24,39844
11998,160,19,37543
6260,0,28,72710
37990,145,9,3943
16991,145,17,11265
13500,125,26,31062
9900,145,32,57054
16500,145,29,34789
14000,125,24,34723
14500,145,22,31863
11900,20,26,15408
14800,145,22,14581
16500,200,18,29852
19900,125,24,17881
11998,0,28,9566
8998,20,27,37361
19998,125,24,17864
17498,145,29,49391
9998,145,36,44310
12998,145,23,36777
14998,145,27,31820
8698,145,23,26206
15191,150,23,84366
14991,145,27,20973
12498,145,26,21821
11998,0,28,10615
13998,145,25,23062
16998,145,26,36788
16798,145,19,5203
17590,145,32,19465
7495,125,23,53108
10690,20,27,25970
16990,145,27,20991
11490,145,26,27603
9790,145,20,19750
15990,145,32,20622
9995,145,27,19204
10495,145,27,26890
15750,145,18,31694
15400,145,26,15844
15360,145,26,19668
15760,145,32,16547
15270,145,26,19473
16030,145,32,16272
15750,145,32,10280
15510,145,32,25445
11498,0,32,24832
9680,145,24,20038
7991,125,23,36358
15960,145,32,19937
15950,145,32,15369
13430,145,32,31960
15490,145,21,12154
8491,125,23,12511
17400,145,18,23171
7291,30,23,38454
6800,145,25,35214
12891,145,25,38349
9998,150,28,42366
11998,30,24,16832
10998,0,28,11278
10298,0,28,44896
8498,0,32,80425
10298,150,27,22917
13298,150,32,14153
4998,30,25,24616
9998,0,25,32298
10998,150,26,24567
10520,145,24,64042
11250,145,24,35339
10230,0,28,18723
18610,200,18,17450
8540,20,26,56665
15580,145,26,8064
8491,145,27,28772
20491,145,32,7791
7640,125,23,32744
8091,125,23,31989
8491,145,23,18179
8330,145,23,36307
11591,20,29,27922
8391,145,25,15012
10000,20,26,14503
9450,0,32,25017
14740,145,25,21647
9520,145,28,33265
9260,125,23,40869
8991,0,28,32509
14998,150,21,26564
6998,125,23,49114
12990,30,27,30388
13070,160,19,27568
10000,145,26,33045
12050,145,22,31318
7991,0,33,77934
7220,0,32,41605
30990,145,16,24159
18550,145,27,8072
5207,0,32,114838
16310,145,23,25405
6730,0,32,105935
11000,145,24,38981
10490,20,27,41012
10990,150,23,28941
6860,125,23,53097
5971,125,23,68146
11650,145,23,30994
7491,150,23,59468
9491,0,28,13153
7491,125,23,48913
9791,125,23,54653
15991,30,27,53937
18491,150,18,19500
11779,150,22,17720
8000,150,28,31384
6691,30,25,58083
8691,150,22,37163
8491,150,23,18757
8995,145,25,16155
9495,20,27,35534
16990,145,24,51122
6700,145,20,25584
7991,150,28,52213
12791,150,28,47076
9495,145,20,62605
17790,235,16,7432
10595,145,32,45549
10057,145,26,24171
10300,145,38,26749
8590,30,27,38124
7891,145,25,16335
8998,0,28,36538
14998,145,21,37284
14040,145,24,6500
12720,125,26,66170
7627,125,23,15924
8191,125,23,16793
8721,125,22,40478
7491,0,28,63921
10770,150,22,47741
12591,150,19,12223
5991,165,19,84514
8081,150,27,40748
11991,150,26,17159
7911,150,28,43858
12151,150,27,41233
8421,150,27,17115
9321,20,26,50108
9911,150,28,27682
12097,30,27,49891
4989,30,25,65087
5995,20,29,125345
18495,125,24,44543
17290,145,26,16019
8299,145,28,61132
9899,145,29,43138
10099,150,28,21296
11491,160,19,19634
8330,145,25,11954
9991,145,28,21010
9991,145,28,26773
12000,145,32,24254
10820,20,26,25576
7998,0,33,42631
8998,0,28,26530
10498,125,22,25852
10498,0,28,12411
14998,145,27,60894
18998,125,22,32826
17498,145,29,45171
9498,145,27,34919
10498,150,24,23268
10498,20,26,10841
15470,145,26,9418
15470,145,26,5507
15390,145,26,16472
15590,145,26,10435
15590,145,26,12875
14620,145,24,14016
10731,145,32,26985
11250,145,26,11796
9991,20,26,32037
9490,125,25,151861
14291,145,16,65339
13491,145,28,12154
17750,145,18,9007
9440,0,38,17148
11691,0,25,9022
12080,30,24,2686
10780,145,20,4142
7291,125,23,42010
14291,145,25,21966
11891,30,23,18303
12391,0,25,17730
8870,145,32,72663
18290,125,24,16299
16290,235,16,24694
12330,125,24,118742
13380,145,26,15603
14991,145,25,22067
6250,30,24,84214
13060,145,26,18845
10691,145,28,20154
16990,145,19,3302
8950,160,19,14891
9810,0,28,8298
11291,0,25,30985
10600,145,28,43542
10180,0,28,23281
9290,145,26,56337
9291,145,20,11454
16291,145,27,49891
14370,145,32,11304
11080,145,20,12157
9291,0,32,37039
15850,145,23,40893
12430,125,22,26578
8391,30,24,18112
20980,145,21,3484
20991,145,32,6062
13991,145,27,44915
8991,145,28,28060
15781,145,26,25281
13760,145,21,10148
14340,145,25,6634
15460,145,26,10960
6791,20,26,70999
14491,145,25,18226
12390,145,25,20381
10491,145,27,8452
10491,145,28,13559
10991,145,28,19357
11970,145,24,25672
10170,145,32,69046
15770,145,25,16034
10491,145,28,26747
7380,0,32,81046
9691,145,28,36458
15298,145,23,61667
9498,0,28,21945
11998,20,26,14613
8691,0,38,55065
14540,145,27,25539
19240,145,21,22354
26230,145,15,6119
9380,20,26,35317
7491,0,38,58488
10391,0,33,10585
9681,145,20,58722
12870,30,27,26237
10490,145,20,3177
6999,30,23,64581
19395,145,29,12080
8250,125,23,29403
9995,30,23,23530
16809,145,21,5824
11187,145,23,28752
10295,0,25,27085
18499,145,23,63165
16498,145,23,17354
10998,20,29,37089
10498,20,27,14164
10998,30,24,11455
8798,145,20,27282
9298,125,23,30074
12991,30,26,34295
13350,145,22,13208
6991,30,24,47239
11370,145,20,8621
16640,145,23,35407
7710,145,28,38051
18047,145,18,24637
7130,0,33,128139
9791,125,23,20321
7557,125,23,21152
6491,30,23,41978
10991,150,28,17695
19061,145,24,54465
8490,145,27,46999
10991,145,24,9230
12090,145,25,7664
15940,145,34,10073
14410,145,25,5874
10900,0,28,20603
11491,0,32,31220
18250,145,18,27724
9891,145,27,11561
8791,145,28,34791
10270,0,33,23545
13499,125,26,51011
8000,0,28,25749
9281,20,27,69589
6959,125,23,42820
11295,125,26,15487
10495,30,27,53119
5780,20,29,71134
10890,145,28,16504
14320,145,25,15009
10630,20,29,39426
13580,145,24,243
8270,0,32,53435
16860,145,26,11426
14120,125,24,68799
7030,125,23,92465
10491,145,28,38909
15000,145,26,10625
20491,145,17,24282
17040,145,17,6785
17440,145,21,8015
24290,145,15,14883
17590,125,24,43821
10980,20,26,38508
10780,145,24,48753
10650,125,29,50762
20941,145,24,10522
13580,145,25,12847
18497,145,18,21193
11740,0,28,12392
8600,0,32,75515
9891,0,33,15789
10350,0,33,29358
10240,30,23,26950
7791,20,27,68601
8970,125,22,47545
11620,145,32,42660
13567,145,25,11658
7467,125,22,47719
17920,145,22,44904
9930,0,33,64718
20390,145,32,9254
37991,145,9,1698
11410,0,25,35399
17750,125,24,62135
12220,145,26,84703
10730,30,23,59579
14540,145,29,21029
10290,145,23,34100
10302,235,17,121278
9910,0,32,91407
30927,145,10,14915
10870,145,28,39978
9640,145,28,30639
14190,145,26,45831
8790,145,28,23171
9560,145,28,9453
15530,145,26,4926
8780,0,32,60286
11370,145,24,23672
7420,145,25,38434
18600,145,18,22539
18367,145,18,23392
17267,145,18,26203
8991,145,28,19555
9291,30,27,57539
9991,145,28,28965
10700,125,22,40650
9000,0,32,55482
11020,20,27,9125
14450,165,19,19487
10590,165,19,16053
15670,145,18,47997
19500,125,24,16520
8110,160,19,29345
7710,0,28,60489
8480,30,25,72349
7211,125,24,109356
6720,145,25,25725
7460,145,28,64576
18367,145,18,34882
21700,145,20,29953
15170,145,34,17840
14390,145,26,18577
17420,145,26,9527
17520,145,26,8251
17520,145,26,13613
17520,145,26,7221
16530,145,26,8047
7950,125,22,54001
11950,145,32,25193
10200,145,25,26601
8500,145,28,25255
8400,125,23,11304
15995,145,23,26871
10995,0,32,33828
6995,160,19,89164
9295,125,23,18409
12995,145,25,20942
9295,160,19,36072
8995,145,28,55767
5995,0,28,95532
10995,145,24,34561
19795,145,20,16396
10291,145,28,43624
7790,125,23,10338
14620,125,24,35777
14990,145,28,10441
18890,145,23,1191
18995,150,17,18345
5995,20,25,104607
6995,145,20,33796
13250,145,25,11265
8740,0,28,43336
12591,145,32,52883
14350,145,38,14917
12380,145,20,38803
13791,150,25,17873
